trial_id,sigma_d,rho,phi,theta,has_grasps,gt_label,primary_cause,U_C,U_q,U_e,U_n,U_e_observed,p_fact,e_fact_cf,argmax,n_argmax_ties,discrete,n_savers,savers,delta_sigma_d,delta_rho,delta_phi,delta_theta,p_cf_sigma_d,p_cf_rho,p_cf_phi,p_cf_theta,e_cf_sigma_d,e_cf_rho,e_cf_phi,e_cf_theta,argmax_correct,discrete_correct
0,0.0,1.0,30.0,0.0,True,joint,phi+rho+sigma_d+theta,0.0009277352349353271,-0.06030976629994589,0.04074324823480221,-11.529898237156601,True,0.0,0.06577,none,0,none,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06577,0.06577,0.06992270085055216,0.06577,0,0
2,0.0,1.0,30.0,0.0,True,joint,phi+rho+sigma_d+theta,0.0009277352349353271,-0.06423608808230918,0.041333248234802215,-17.5298982371566,True,0.0,0.06636,none,0,none,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06636,0.06636,0.07051270085055217,0.06636,0,0
15,0.0,1.0,45.0,90.0,True,theta,theta,0.00011132907965928467,0.004688976340073536,0.03535333017126775,-7.761443927757718,True,0.0,0.11346,theta,1,theta,1,theta,0.0,0.0,0.0,0.9836685528749589,0.0,0.0,0.0,0.9836685528749589,0.11346,0.11346,0.11346,0.0645327827870177,1,1
16,0.0,1.0,45.0,90.0,True,theta,theta,0.00011132907965928467,0.020246782121679296,0.03441333017126774,1.2385560722422824,True,0.0,0.11252,theta,1,theta,1,theta,0.0,0.0,0.0,0.9836685528749589,0.0,0.0,0.0,0.9836685528749589,0.11252,0.11252,0.11252,0.06359278278701769,1,1
18,0.0,1.0,60.0,0.0,False,phi,phi,-0.0020520500325124777,,0.0,,False,0.9074662556938843,0.0333321534663021,phi,1,none,0,,0.0,0.0,0.07620229718107463,0.0,0.9074662556938843,0.9074662556938843,0.9836685528749589,0.9074662556938843,0.0333321534663021,0.0333321534663021,0.029179452615749946,0.0333321534663021,1,0
19,0.0,1.0,60.0,0.0,False,phi,phi,-0.0020520500325124777,,0.0,,False,0.9074662556938843,0.0333321534663021,phi,1,none,0,,0.0,0.0,0.07620229718107463,0.0,0.9074662556938843,0.9074662556938843,0.9836685528749589,0.9074662556938843,0.0333321534663021,0.0333321534663021,0.029179452615749946,0.0333321534663021,1,0
20,0.0,1.0,60.0,0.0,False,phi,phi,-0.0020520500325124777,,0.0,,False,0.9074662556938843,0.0333321534663021,phi,1,none,0,,0.0,0.0,0.07620229718107463,0.0,0.9074662556938843,0.9074662556938843,0.9836685528749589,0.9074662556938843,0.0333321534663021,0.0333321534663021,0.029179452615749946,0.0333321534663021,1,0
21,0.0,1.0,60.0,45.0,True,none,none,0.0011280721129614526,-0.060345852616756956,0.047074237927206754,-10.242740151171226,True,0.0,0.10487,none,0,none,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10487,0.10487,0.10071729914944785,0.08040639139350886,1,1
22,0.0,1.0,60.0,45.0,True,phi,phi,0.0011280721129614526,-0.06315718993485345,0.045354237927206754,-11.242740151171226,True,0.0,0.10315,none,0,none,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10315,0.10315,0.09899729914944785,0.07868639139350886,0,0
23,0.0,1.0,60.0,45.0,True,none,none,0.0011280721129614526,-0.06441718993485343,0.044664237927206744,-11.242740151171226,True,0.0,0.10246,none,0,none,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10246,0.10246,0.09830729914944784,0.07799639139350883,1,1
24,0.0,1.0,60.0,90.0,True,phi,phi,0.0002670223834353846,-0.014940601164732586,0.044250629320715607,-21.960236920677747,True,0.0,0.12651,none,0,none,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12651,0.12651,0.12235729914944786,0.0775827827870177,0,0
25,0.0,1.0,60.0,90.0,True,none,none,0.0002670223834353846,-0.013160601164732583,0.044240629320715597,-21.960236920677747,True,0.0,0.1265,none,0,none,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1265,0.1265,0.12234729914944785,0.0775727827870177,1,1
26,0.0,1.0,60.0,90.0,True,none,none,0.0002670223834353846,-0.014373374339903627,0.045820629320715595,-20.960236920677747,True,0.0,0.12808,none,0,none,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12808,0.12808,0.12392729914944785,0.07915278278701769,1,1
33,0.0,0.75,30.0,90.0,True,theta,theta,-0.0027143642241168123,-0.011356877940119053,0.0034847322265047775,-18.26166991011337,True,0.0,0.0769,theta,1,theta,1,theta,0.0,0.0,0.0,0.9966574655932074,0.0,0.0,0.0,0.9966574655932074,0.0769,0.07743870120468488,0.08105270085055215,0.027972782787017682,1,1
44,0.0,0.75,45.0,90.0,True,rho,rho,0.00011132907965928467,-0.016020933303535545,0.036562031375952625,-3.6623641114908487,True,0.0,0.11413,none,0,none,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11413,0.11466870120468488,0.11413,0.06520278278701769,0,0
51,0.0,0.75,60.0,90.0,True,none,none,0.0002670223834353846,-0.029819585304750013,0.0013993305254004773,-5.079192207662061,True,0.0,0.08312,theta,1,theta,1,theta,0.0,0.0,0.0,0.887699089855249,0.0,0.0,0.0,0.887699089855249,0.08312,0.08365870120468488,0.07896729914944785,0.03419278278701769,0,0
53,0.0,0.75,60.0,90.0,True,none,none,0.0002670223834353846,-0.03600267719063266,0.013809330525400482,4.920807792337939,True,0.0,0.09553,theta,1,theta,1,theta,0.0,0.0,0.0,0.887699089855249,0.0,0.0,0.0,0.887699089855249,0.09553,0.09606870120468489,0.09137729914944785,0.046602782787017696,0,0
69,0.0,0.5,45.0,90.0,True,none,none,0.00011132907965928467,0.00010933532821466585,0.022120732580637514,4.232686423485585,True,0.0,0.09915,theta,1,theta,1,theta,0.0,0.0,0.0,0.975082025738746,0.0,0.0,0.0,0.975082025738746,0.09915,0.10022740240936977,0.09915,0.050222782787017695,0,0
72,0.0,0.5,60.0,0.0,False,none,none,-0.0020520500325124777,,0.0,,False,0.8643404993068434,0.03225475105693234,phi,1,none,0,,0.0,0.04312575638704086,0.1107415264319026,0.0,0.8643404993068434,0.9074662556938843,0.975082025738746,0.8643404993068434,0.03225475105693234,0.0333321534663021,0.028102050206380184,0.03225475105693234,0,1
73,0.0,0.5,60.0,0.0,False,none,none,-0.0020520500325124777,,0.0,,False,0.8643404993068434,0.03225475105693234,phi,1,none,0,,0.0,0.04312575638704086,0.1107415264319026,0.0,0.8643404993068434,0.9074662556938843,0.975082025738746,0.8643404993068434,0.03225475105693234,0.0333321534663021,0.028102050206380184,0.03225475105693234,0,1
78,0.0,0.5,60.0,90.0,True,none,none,0.0002670223834353846,-0.028029364983363697,0.013588031730085354,1.657157835255635,True,0.0,0.09477,theta,1,theta,1,theta,0.0,0.0,0.0,0.8643404993068434,0.0,0.0,0.0,0.8643404993068434,0.09477,0.09584740240936976,0.09061729914944784,0.04584278278701769,0,0
79,0.0,0.5,60.0,90.0,True,phi,phi,0.0002670223834353846,-0.04883666903436312,0.026878031730085364,5.657157835255635,True,0.0,0.10806,theta,1,theta,1,theta,0.0,0.0,0.0,0.8643404993068434,0.0,0.0,0.0,0.8643404993068434,0.10806,0.10913740240936977,0.10390729914944785,0.0591327827870177,0,0
80,0.0,0.5,60.0,90.0,True,none,none,0.0002670223834353846,-0.03246431345348802,0.02523803173008536,4.657157835255635,True,0.0,0.10642,theta,1,theta,1,theta,0.0,0.0,0.0,0.8643404993068434,0.0,0.0,0.0,0.8643404993068434,0.10642,0.10749740240936977,0.10226729914944785,0.0574927827870177,0,0
88,0.0,0.25,30.0,90.0,True,theta,theta,-0.0027143642241168123,-0.022548821794028034,0.008742134635874546,-4.794008753796996,True,0.0,0.08108,theta,1,theta,1,theta,0.0,0.0,0.0,0.9948644192604345,0.0,0.0,0.0,0.9948644192604345,0.08108,0.08269610361405465,0.08523270085055216,0.03215278278701769,1,1
98,0.0,0.25,45.0,90.0,True,phi,phi,0.00011132907965928467,-0.002782470575730722,0.03497943378532238,-4.4765025710310535,True,0.0,0.11147,theta,1,theta,1,theta,0.0,0.0,0.0,0.9692698873186854,0.0,0.0,0.0,0.9692698873186854,0.11147,0.11308610361405463,0.11147,0.06254278278701769,0,0
99,0.0,0.25,60.0,0.0,False,phi,phi,-0.0020520500325124777,,0.0,,False,0.8370153750707843,0.031716049852247456,phi,1,none,0,,0.0,0.07045088062310001,0.13225451224790108,0.0,0.8370153750707843,0.9074662556938843,0.9692698873186854,0.8370153750707843,0.031716049852247456,0.0333321534663021,0.027563349001695304,0.031716049852247456,1,0
100,0.0,0.25,60.0,0.0,False,none,none,-0.0020520500325124777,,0.0,,False,0.8370153750707843,0.031716049852247456,phi,1,none,0,,0.0,0.07045088062310001,0.13225451224790108,0.0,0.8370153750707843,0.9074662556938843,0.9692698873186854,0.8370153750707843,0.031716049852247456,0.0333321534663021,0.027563349001695304,0.031716049852247456,0,1
101,0.0,0.25,60.0,0.0,False,none,none,-0.0020520500325124777,,0.0,,False,0.8370153750707843,0.031716049852247456,phi,1,none,0,,0.0,0.07045088062310001,0.13225451224790108,0.0,0.8370153750707843,0.9074662556938843,0.9692698873186854,0.8370153750707843,0.031716049852247456,0.0333321534663021,0.027563349001695304,0.031716049852247456,0,1
105,0.0,0.25,60.0,90.0,True,phi,phi,0.0002670223834353846,-0.01246248573371711,0.045956732934770234,-0.16754396341103117,True,0.0,0.1266,none,0,none,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1266,0.12821610361405464,0.12244729914944785,0.0776727827870177,0,0
106,0.0,0.25,60.0,90.0,True,phi,phi,0.0002670223834353846,-0.04020382425804622,0.03424673293477025,2.832456036588969,True,0.0,0.11489,none,0,none,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11489,0.11650610361405465,0.11073729914944787,0.0659627827870177,0,0
107,0.0,0.25,60.0,90.0,True,none,none,0.0002670223834353846,-0.018286119357433406,0.030456732934770248,-4.167543963411031,True,0.0,0.1111,theta,1,theta,1,theta,0.0,0.0,0.0,0.8370153750707843,0.0,0.0,0.0,0.8370153750707843,0.1111,0.11271610361405465,0.10694729914944787,0.062172782787017704,0,0
