trial_id,sigma_d,rho,phi,theta,seed,observed_success,cf_sigma_d_success,cf_rho_success,cf_phi_success,cf_theta_success,n_cf_successes,primary_cause
0,0.0,1.0,30.0,0.0,0,0,1,1,1,1,4,phi+rho+sigma_d+theta
2,0.0,1.0,30.0,0.0,20002,0,1,1,1,1,4,phi+rho+sigma_d+theta
15,0.0,1.0,45.0,90.0,15,0,0,0,0,1,1,theta
16,0.0,1.0,45.0,90.0,10016,0,0,0,0,1,1,theta
18,0.0,1.0,60.0,0.0,18,0,0,0,1,0,1,phi
19,0.0,1.0,60.0,0.0,10019,0,0,0,1,0,1,phi
20,0.0,1.0,60.0,0.0,20020,0,0,0,1,0,1,phi
21,0.0,1.0,60.0,45.0,21,0,0,0,0,0,0,none
22,0.0,1.0,60.0,45.0,10022,0,0,0,1,0,1,phi
23,0.0,1.0,60.0,45.0,20023,0,0,0,0,0,0,none
24,0.0,1.0,60.0,90.0,24,0,0,0,1,0,1,phi
25,0.0,1.0,60.0,90.0,10025,0,0,0,0,0,0,none
26,0.0,1.0,60.0,90.0,20026,0,0,0,0,0,0,none
33,0.0,0.75,30.0,90.0,33,0,0,0,0,1,1,theta
44,0.0,0.75,45.0,90.0,20044,0,0,1,0,0,1,rho
51,0.0,0.75,60.0,90.0,51,0,0,0,0,0,0,none
53,0.0,0.75,60.0,90.0,20053,0,0,0,0,0,0,none
69,0.0,0.5,45.0,90.0,69,0,0,0,0,0,0,none
72,0.0,0.5,60.0,0.0,72,0,0,0,0,0,0,none
73,0.0,0.5,60.0,0.0,10073,0,0,0,0,0,0,none
78,0.0,0.5,60.0,90.0,78,0,0,0,0,0,0,none
79,0.0,0.5,60.0,90.0,10079,0,0,0,1,0,1,phi
80,0.0,0.5,60.0,90.0,20080,0,0,0,0,0,0,none
88,0.0,0.25,30.0,90.0,10088,0,0,0,0,1,1,theta
98,0.0,0.25,45.0,90.0,20098,0,0,0,1,0,1,phi
99,0.0,0.25,60.0,0.0,99,0,0,0,1,0,1,phi
100,0.0,0.25,60.0,0.0,10100,0,0,0,0,0,0,none
101,0.0,0.25,60.0,0.0,20101,0,0,0,0,0,0,none
105,0.0,0.25,60.0,90.0,105,0,0,0,1,0,1,phi
106,0.0,0.25,60.0,90.0,10106,0,0,0,1,0,1,phi
107,0.0,0.25,60.0,90.0,20107,0,0,0,0,0,0,none
112,0.005,1.0,30.0,45.0,10112,0,1,0,0,1,2,sigma_d+theta
114,0.005,1.0,30.0,90.0,114,0,0,0,0,1,1,theta
117,0.005,1.0,45.0,0.0,117,0,1,1,1,0,3,phi+rho+sigma_d
118,0.005,1.0,45.0,0.0,10118,0,1,1,0,1,3,rho+sigma_d+theta
120,0.005,1.0,45.0,45.0,120,0,1,0,0,1,2,sigma_d+theta
123,0.005,1.0,45.0,90.0,123,0,0,0,0,0,0,none
126,0.005,1.0,60.0,0.0,126,0,0,0,1,0,1,phi
127,0.005,1.0,60.0,0.0,10127,0,0,0,1,0,1,phi
128,0.005,1.0,60.0,0.0,20128,0,0,0,1,0,1,phi
129,0.005,1.0,60.0,45.0,129,0,0,0,0,0,0,none
130,0.005,1.0,60.0,45.0,10130,0,0,0,0,0,0,none
131,0.005,1.0,60.0,45.0,20131,0,0,0,0,0,0,none
132,0.005,1.0,60.0,90.0,132,0,0,0,0,0,0,none
133,0.005,1.0,60.0,90.0,10133,0,0,0,0,0,0,none
134,0.005,1.0,60.0,90.0,20134,0,0,0,0,0,0,none
142,0.005,0.75,30.0,90.0,10142,0,0,0,0,1,1,theta
143,0.005,0.75,30.0,90.0,20143,0,0,0,0,1,1,theta
150,0.005,0.75,45.0,90.0,150,0,0,0,0,0,0,none
151,0.005,0.75,45.0,90.0,10151,0,0,0,0,0,0,none
152,0.005,0.75,45.0,90.0,20152,0,0,0,0,0,0,none
153,0.005,0.75,60.0,0.0,153,0,0,0,0,0,0,none
155,0.005,0.75,60.0,0.0,20155,0,0,0,0,0,0,none
156,0.005,0.75,60.0,45.0,156,0,0,0,0,0,0,none
158,0.005,0.75,60.0,45.0,20158,0,0,0,0,0,0,none
160,0.005,0.75,60.0,90.0,10160,0,0,0,0,0,0,none
161,0.005,0.75,60.0,90.0,20161,0,0,0,0,0,0,none
166,0.005,0.5,30.0,45.0,10166,0,1,0,0,1,2,sigma_d+theta
167,0.005,0.5,30.0,45.0,20167,0,0,0,0,1,1,theta
168,0.005,0.5,30.0,90.0,168,0,0,0,0,1,1,theta
170,0.005,0.5,30.0,90.0,20170,0,0,1,0,1,2,rho+theta
175,0.005,0.5,45.0,45.0,10175,0,1,0,0,0,1,sigma_d
176,0.005,0.5,45.0,45.0,20176,0,0,0,0,0,0,none
177,0.005,0.5,45.0,90.0,177,0,1,0,0,0,1,sigma_d
178,0.005,0.5,45.0,90.0,10178,0,0,0,0,0,0,none
179,0.005,0.5,45.0,90.0,20179,0,0,0,0,0,0,none
180,0.005,0.5,60.0,0.0,180,0,0,0,0,0,0,none
181,0.005,0.5,60.0,0.0,10181,0,0,0,0,0,0,none
183,0.005,0.5,60.0,45.0,183,0,0,0,0,0,0,none
184,0.005,0.5,60.0,45.0,10184,0,0,0,0,0,0,none
186,0.005,0.5,60.0,90.0,186,0,0,0,1,0,1,phi
187,0.005,0.5,60.0,90.0,10187,0,0,0,0,0,0,none
188,0.005,0.5,60.0,90.0,20188,0,0,0,1,0,1,phi
192,0.005,0.25,30.0,45.0,192,0,0,1,1,1,3,phi+rho+theta
193,0.005,0.25,30.0,45.0,10193,0,1,0,0,1,2,sigma_d+theta
194,0.005,0.25,30.0,45.0,20194,0,0,0,0,1,1,theta
195,0.005,0.25,30.0,90.0,195,0,0,0,0,1,1,theta
196,0.005,0.25,30.0,90.0,10196,0,0,0,0,1,1,theta
197,0.005,0.25,30.0,90.0,20197,0,0,0,0,1,1,theta
201,0.005,0.25,45.0,45.0,201,0,1,0,0,0,1,sigma_d
203,0.005,0.25,45.0,45.0,20203,0,0,0,0,0,0,none
204,0.005,0.25,45.0,90.0,204,0,0,0,0,0,0,none
205,0.005,0.25,45.0,90.0,10205,0,0,0,0,0,0,none
206,0.005,0.25,45.0,90.0,20206,0,0,0,0,0,0,none
207,0.005,0.25,60.0,0.0,207,0,0,0,0,0,0,none
208,0.005,0.25,60.0,0.0,10208,0,0,0,0,0,0,none
