trial_id,sigma_d,rho,phi,theta,seed,C_pc,q_grasp,e_pose,n_grasps,success,obj_z_final,error
0,0.0,1.0,30.0,0.0,0,0.0108,0.21019,0.06577,88,0,0.454,
1,0.0,1.0,30.0,0.0,10001,0.0108,0.21969,0.06456,102,1,0.675,
2,0.0,1.0,30.0,0.0,20002,0.0108,0.20448,0.06636,82,0,0.4539,
3,0.0,1.0,30.0,45.0,3,0.01479,0.20653,0.04022,15,1,0.675,
4,0.0,1.0,30.0,45.0,10004,0.01479,0.24013,0.03115,22,1,0.675,
5,0.0,1.0,30.0,45.0,20005,0.01479,0.18878,0.02724,14,1,0.675,
6,0.0,1.0,30.0,90.0,6,0.01488,0.15165,0.055,4,1,0.675,
7,0.0,1.0,30.0,90.0,10007,0.01488,0.18123,0.03453,11,1,0.675,
8,0.0,1.0,30.0,90.0,20008,0.01488,0.18878,0.03111,14,1,0.675,
9,0.0,1.0,45.0,0.0,9,0.00486,0.28173,0.01373,116,1,0.675,
10,0.0,1.0,45.0,0.0,10010,0.00486,0.27615,0.00149,123,1,0.675,
11,0.0,1.0,45.0,0.0,20011,0.00486,0.27603,0.01262,126,1,0.675,
12,0.0,1.0,45.0,45.0,12,0.01216,0.2903,0.01847,63,1,0.675,
13,0.0,1.0,45.0,45.0,10013,0.01216,0.26244,0.02309,53,1,0.675,
14,0.0,1.0,45.0,45.0,20014,0.01216,0.29056,0.02158,59,1,0.675,
15,0.0,1.0,45.0,90.0,15,0.01382,0.22035,0.11346,22,0,0.455,
16,0.0,1.0,45.0,90.0,10016,0.01382,0.24457,0.11252,31,0,0.4553,
17,0.0,1.0,45.0,90.0,20017,0.01382,0.24964,0.05824,29,1,0.675,
18,0.0,1.0,60.0,0.0,18,4.8828125e-05,,,0,0,,no_grasps
19,0.0,1.0,60.0,0.0,10019,4.8828125e-05,,,0,0,,no_grasps
20,0.0,1.0,60.0,0.0,20020,4.8828125e-05,,,0,0,,no_grasps
21,0.0,1.0,60.0,45.0,21,0.00709,0.19682,0.10487,42,0,0.4579,
22,0.0,1.0,60.0,45.0,10022,0.00709,0.1934,0.10315,41,0,0.459,
23,0.0,1.0,60.0,45.0,20023,0.00709,0.19214,0.10246,41,0,0.4588,
24,0.0,1.0,60.0,90.0,24,0.01009,0.18197,0.12651,7,0,0.4549,
25,0.0,1.0,60.0,90.0,10025,0.01009,0.18375,0.1265,7,0,0.4549,
26,0.0,1.0,60.0,90.0,20026,0.01009,0.18591,0.12808,8,0,0.4549,
27,0.0,0.75,30.0,0.0,27,0.0108,0.29385,0.01385,140,1,0.675,
28,0.0,0.75,30.0,0.0,10028,0.0108,0.29385,0.00969,152,1,0.675,
29,0.0,0.75,30.0,0.0,20029,0.0108,0.29324,0.03127,140,1,0.675,
30,0.0,0.75,30.0,45.0,30,0.01479,0.19504,0.02947,10,1,0.675,
31,0.0,0.75,30.0,45.0,10031,0.01479,0.19606,0.02636,10,1,0.675,
32,0.0,0.75,30.0,45.0,20032,0.01479,0.19833,0.04285,11,1,0.675,
33,0.0,0.75,30.0,90.0,33,0.01488,0.16132,0.0769,4,0,0.4549,
34,0.0,0.75,30.0,90.0,10034,0.01488,0.19902,0.02651,13,1,0.675,
35,0.0,0.75,30.0,90.0,20035,0.01488,0.21408,0.03473,20,1,0.675,
36,0.0,0.75,45.0,0.0,36,0.00486,0.29385,0.0339,83,1,0.675,
37,0.0,0.75,45.0,0.0,10037,0.00486,0.29385,0.03513,106,1,0.675,
38,0.0,0.75,45.0,0.0,20038,0.00486,0.29385,0.04938,95,1,0.675,
39,0.0,0.75,45.0,45.0,39,0.01216,0.29109,0.03598,43,1,0.675,
40,0.0,0.75,45.0,45.0,10040,0.01216,0.26996,0.0329,46,1,0.675,
41,0.0,0.75,45.0,45.0,20041,0.01216,0.28713,0.02187,45,1,0.675,
42,0.0,0.75,45.0,90.0,42,0.01382,0.23792,0.01758,23,1,0.675,
43,0.0,0.75,45.0,90.0,10043,0.01382,0.22919,0.0463,21,1,0.675,
44,0.0,0.75,45.0,90.0,20044,0.01382,0.20482,0.11413,18,0,0.4551,
45,0.0,0.75,60.0,0.0,45,5e-05,0.23051,0.06857,1,1,0.675,
46,0.0,0.75,60.0,0.0,10046,5e-05,0.24985,0.06877,1,1,0.675,
47,0.0,0.75,60.0,0.0,20047,5e-05,0.24124,0.06946,1,1,0.675,
48,0.0,0.75,60.0,45.0,48,0.00709,0.2938,0.0267,82,1,0.675,
49,0.0,0.75,60.0,45.0,10049,0.00709,0.29382,0.03503,71,1,0.675,
50,0.0,0.75,60.0,45.0,20050,0.00709,0.29371,0.03871,76,1,0.675,
51,0.0,0.75,60.0,90.0,51,0.01009,0.19822,0.08312,16,0,0.4549,
52,0.0,0.75,60.0,90.0,10052,0.01009,0.19726,0.06434,22,1,0.675,
53,0.0,0.75,60.0,90.0,20053,0.01009,0.2043,0.09553,26,0,0.4549,
54,0.0,0.5,30.0,0.0,54,0.0108,0.28444,0.03089,105,1,0.675,
55,0.0,0.5,30.0,0.0,10055,0.0108,0.29144,0.03323,102,1,0.675,
56,0.0,0.5,30.0,0.0,20056,0.0108,0.29339,0.03809,100,1,0.675,
57,0.0,0.5,30.0,45.0,57,0.01479,0.19902,0.02724,8,1,0.675,
58,0.0,0.5,30.0,45.0,10058,0.01479,0.20174,0.03431,7,1,0.675,
59,0.0,0.5,30.0,45.0,20059,0.01479,0.2204,0.03669,9,1,0.675,
