trial_id,object,sigma_d,rho,phi,theta,seed,n_grasps,selected_rank,n_rejected,q_grasp,ik_grasp_ok,pos_err_grasp,ori_err_grasp,used_direct_grasp,collision_at_grasp,got_contact_on_close,success,final_lift,final_xy_offset,failure_mode,error
0,cylinder,0.0,1.0,55.0,45.0,400000,25,0,0,0.17034,1,0.0079,0.2831,0,0,1,0,0.00051,0.01039,executed_dropped,
1,cylinder,0.0,1.0,55.0,45.0,410007,25,0,0,0.17052,1,0.01105,0.13825,0,0,1,0,0.00038,0.01418,executed_dropped,
2,cylinder,0.0,1.0,55.0,45.0,420014,43,0,0,0.18183,1,0.00817,0.14772,0,0,1,0,0.0004,0.00291,executed_dropped,
3,cylinder,0.0,1.0,55.0,45.0,430021,2,0,0,0.15559,1,0.00913,0.14354,0,0,1,0,0.00044,0.01328,executed_dropped,
4,cylinder,0.0,1.0,55.0,45.0,440028,8,0,0,0.15764,1,0.0099,0.14284,0,0,1,0,0.00042,0.01589,executed_dropped,
5,cylinder,0.0,1.0,55.0,45.0,450035,33,0,0,0.18147,1,0.00829,0.14834,0,0,1,0,0.00029,0.00465,executed_dropped,
6,cylinder,0.0,1.0,55.0,45.0,460042,35,0,0,0.17403,1,0.00734,0.21228,0,0,1,0,0.00053,0.00875,executed_dropped,
7,cylinder,0.0,1.0,55.0,45.0,470049,33,0,0,0.16626,1,0.00796,0.32678,0,0,1,0,7e-05,0.01148,executed_dropped,
8,cylinder,0.0,1.0,55.0,45.0,480056,41,0,0,0.17469,1,0.0097,0.67752,0,0,1,0,-0.00445,0.03371,executed_dropped,
9,cylinder,0.0,1.0,55.0,45.0,490063,53,0,0,0.17812,1,0.00834,0.39152,0,0,1,0,0.00051,0.01354,executed_dropped,
10,cylinder,0.0,1.0,55.0,45.0,500070,12,0,0,0.16186,1,0.00815,0.14848,0,0,1,0,0.00035,0.00552,executed_dropped,
11,cylinder,0.0,1.0,55.0,45.0,510077,47,0,0,0.18097,1,0.00775,0.14689,0,0,1,0,0.00045,0.00343,executed_dropped,
12,cylinder,0.0,1.0,55.0,45.0,520084,51,0,0,0.18068,1,0.00803,0.14946,0,0,1,0,0.00053,0.00324,executed_dropped,
13,cylinder,0.0,1.0,55.0,45.0,530091,91,0,0,0.21415,1,0.00784,0.35519,0,0,1,0,0.00061,0.01611,executed_dropped,
14,cylinder,0.0,1.0,55.0,45.0,540098,22,0,0,0.16938,1,0.00848,0.14988,0,0,1,0,0.00034,0.00404,executed_dropped,
15,cylinder,0.0,1.0,55.0,45.0,550105,67,0,0,0.18576,1,0.00825,0.38217,0,0,1,0,0.00055,0.01975,executed_dropped,
16,cylinder,0.0,1.0,55.0,45.0,560112,19,0,0,0.17755,1,0.00872,0.1438,0,0,1,0,0.00042,0.00453,executed_dropped,
17,cylinder,0.0,1.0,55.0,45.0,570119,31,0,0,0.17606,1,0.01051,0.14119,0,0,1,0,0.00044,0.01356,executed_dropped,
18,cylinder,0.0,1.0,55.0,45.0,580126,56,0,0,0.17559,1,0.00761,0.14942,0,0,1,0,0.00042,0.00441,executed_dropped,
19,cylinder,0.0,1.0,55.0,45.0,590133,32,0,0,0.17038,1,0.00783,0.15007,0,0,1,0,0.00031,0.00447,executed_dropped,
20,cylinder,0.0,1.0,55.0,45.0,600140,52,0,0,0.16714,1,0.00929,0.1467,0,0,1,0,0.00036,0.00443,executed_dropped,
21,cylinder,0.0,1.0,55.0,45.0,610147,42,0,0,0.17998,1,0.00848,0.45217,0,0,1,0,0.00053,0.02107,executed_dropped,
22,cylinder,0.0,1.0,55.0,45.0,620154,41,0,0,0.17237,1,0.00779,0.26495,0,0,1,0,0.00019,0.00702,executed_dropped,
23,cylinder,0.0,1.0,55.0,45.0,630161,65,0,0,0.19571,1,0.00785,0.14938,0,0,1,0,0.00052,0.0021,executed_dropped,
24,cylinder,0.0,1.0,55.0,45.0,640168,40,0,0,0.17935,1,0.00866,0.14943,0,0,1,0,0.00027,0.00462,executed_dropped,
