trial_id,object,sigma_d,rho,phi,theta,seed,seg_empty,C_pc,cube_size,q_grasp,e_pose,n_grasps,collision_free,contacted_bodies,success,final_xy_offset,final_lift,obj_z_final,failure_mode,error
0,cylinder,0.0,1.0,30.0,0.0,0,0,0.01517,0.25927630066871643,,,0,,,0,,,,no_grasps,no_grasps
1,cylinder,0.0,1.0,30.0,0.0,10001,0,0.01517,0.25927630066871643,,,0,,,0,,,,no_grasps,no_grasps
2,cylinder,0.0,1.0,30.0,0.0,20002,0,0.01517,0.25927630066871643,,,0,,,0,,,,no_grasps,no_grasps
3,cylinder,0.0,1.0,30.0,0.0,30003,0,0.01517,0.25927630066871643,0.15327,0.01613,4,1,,1,0.00464,0.15059,0.6056,success,
4,cylinder,0.0,1.0,30.0,0.0,40004,0,0.01517,0.25927630066871643,,,0,,,0,,,,no_grasps,no_grasps
5,cylinder,0.0,1.0,30.0,45.0,5,0,0.01518,0.2592492699623108,,,0,,,0,,,,no_grasps,no_grasps
6,cylinder,0.0,1.0,30.0,45.0,10006,0,0.01518,0.2592492699623108,,,0,,,0,,,,no_grasps,no_grasps
7,cylinder,0.0,1.0,30.0,45.0,20007,0,0.01518,0.2592492699623108,,,0,,,0,,,,no_grasps,no_grasps
8,cylinder,0.0,1.0,30.0,45.0,30008,0,0.01518,0.2592492699623108,,,0,,,0,,,,no_grasps,no_grasps
9,cylinder,0.0,1.0,30.0,45.0,40009,0,0.01518,0.2592492699623108,,,0,,,0,,,,no_grasps,no_grasps
10,cylinder,0.0,1.0,30.0,90.0,10,0,0.01517,0.25927630066871643,,,0,,,0,,,,no_grasps,no_grasps
11,cylinder,0.0,1.0,30.0,90.0,10011,0,0.01517,0.25927630066871643,,,0,,,0,,,,no_grasps,no_grasps
12,cylinder,0.0,1.0,30.0,90.0,20012,0,0.01517,0.25927630066871643,,,0,,,0,,,,no_grasps,no_grasps
13,cylinder,0.0,1.0,30.0,90.0,30013,0,0.01517,0.25927630066871643,,,0,,,0,,,,no_grasps,no_grasps
14,cylinder,0.0,1.0,30.0,90.0,40014,0,0.01517,0.25927630066871643,,,0,,,0,,,,no_grasps,no_grasps
15,cylinder,0.0,1.0,45.0,0.0,15,0,0.01445,0.2537956237792969,,,0,,,0,,,,no_grasps,no_grasps
16,cylinder,0.0,1.0,45.0,0.0,10016,0,0.01445,0.2537956237792969,,,0,,,0,,,,no_grasps,no_grasps
17,cylinder,0.0,1.0,45.0,0.0,20017,0,0.01445,0.2537956237792969,0.16474,0.03529,11,0,target_object,0,,,0.455,pregrasp_collision,
18,cylinder,0.0,1.0,45.0,0.0,30018,0,0.01445,0.2537956237792969,,,0,,,0,,,,no_grasps,no_grasps
19,cylinder,0.0,1.0,45.0,0.0,40019,0,0.01445,0.2537956237792969,,,0,,,0,,,,no_grasps,no_grasps
20,cylinder,0.0,1.0,45.0,45.0,20,0,0.01447,0.25376570224761963,,,0,,,0,,,,no_grasps,no_grasps
21,cylinder,0.0,1.0,45.0,45.0,10021,0,0.01447,0.25376570224761963,,,0,,,0,,,,no_grasps,no_grasps
22,cylinder,0.0,1.0,45.0,45.0,20022,0,0.01447,0.25376570224761963,0.15276,0.02904,4,0,target_object,0,,,0.455,pregrasp_collision,
23,cylinder,0.0,1.0,45.0,45.0,30023,0,0.01447,0.25376570224761963,0.17494,0.02352,49,1,,1,0.00603,0.15058,0.6056,success,
24,cylinder,0.0,1.0,45.0,45.0,40024,0,0.01447,0.25376570224761963,,,0,,,0,,,,no_grasps,no_grasps
25,cylinder,0.0,1.0,45.0,90.0,25,0,0.01445,0.25379568338394165,,,0,,,0,,,,no_grasps,no_grasps
26,cylinder,0.0,1.0,45.0,90.0,10026,0,0.01445,0.25379568338394165,0.16603,0.03703,20,0,target_object,0,,,0.455,pregrasp_collision,
27,cylinder,0.0,1.0,45.0,90.0,20027,0,0.01445,0.25379568338394165,,,0,,,0,,,,no_grasps,no_grasps
28,cylinder,0.0,1.0,45.0,90.0,30028,0,0.01445,0.25379568338394165,0.16235,0.01448,14,1,,1,0.00375,0.15016,0.6051,success,
29,cylinder,0.0,1.0,45.0,90.0,40029,0,0.01445,0.25379568338394165,,,0,,,0,,,,no_grasps,no_grasps
30,cylinder,0.0,1.0,50.0,0.0,30,0,0.01401,0.24828225374221802,0.15865,0.0176,13,0,target_object,0,,,0.455,pregrasp_collision,
31,cylinder,0.0,1.0,50.0,0.0,10031,0,0.01401,0.24828225374221802,0.1668,0.03713,8,0,target_object,0,,,0.455,pregrasp_collision,
32,cylinder,0.0,1.0,50.0,0.0,20032,0,0.01401,0.24828225374221802,,,0,,,0,,,,no_grasps,no_grasps
33,cylinder,0.0,1.0,50.0,0.0,30033,0,0.01401,0.24828225374221802,0.16618,0.03311,7,0,target_object,0,,,0.455,pregrasp_collision,
34,cylinder,0.0,1.0,50.0,0.0,40034,0,0.01401,0.24828225374221802,,,0,,,0,,,,no_grasps,no_grasps
35,cylinder,0.0,1.0,50.0,45.0,35,0,0.01402,0.24838709831237793,0.15488,0.03187,2,0,target_object,0,,,0.455,pregrasp_collision,
36,cylinder,0.0,1.0,50.0,45.0,10036,0,0.01402,0.24838709831237793,,,0,,,0,,,,no_grasps,no_grasps
37,cylinder,0.0,1.0,50.0,45.0,20037,0,0.01402,0.24838709831237793,0.18704,0.01729,74,1,,1,0.00467,0.15013,0.6051,success,
38,cylinder,0.0,1.0,50.0,45.0,30038,0,0.01402,0.24838709831237793,0.16658,0.03345,10,0,target_object,0,,,0.455,pregrasp_collision,
39,cylinder,0.0,1.0,50.0,45.0,40039,0,0.01402,0.24838709831237793,0.16324,0.01388,26,1,,1,0.00413,0.15028,0.6053,success,
40,cylinder,0.0,1.0,50.0,90.0,40,0,0.01401,0.2482822835445404,,,0,,,0,,,,no_grasps,no_grasps
41,cylinder,0.0,1.0,50.0,90.0,10041,0,0.01401,0.2482822835445404,0.15331,0.03569,1,0,target_object,0,,,0.455,pregrasp_collision,
42,cylinder,0.0,1.0,50.0,90.0,20042,0,0.01401,0.2482822835445404,0.15398,0.03943,3,0,target_object,0,,,0.455,pregrasp_collision,
