trial_id,object,sigma_d,rho,phi,theta,seed,seg_empty,C_pc,cube_size,q_grasp,e_pose,n_grasps,top_k,selected_rank,n_candidates_tried,n_rejected_collision,collision_free,contacted_bodies,success,final_xy_offset,final_lift,obj_z_final,failure_mode,error
0,cylinder,0.0,1.0,30.0,0.0,300000,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
1,cylinder,0.0,1.0,30.0,0.0,310001,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
2,cylinder,0.0,1.0,30.0,0.0,320002,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
3,cylinder,0.0,1.0,30.0,0.0,330003,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
4,cylinder,0.0,1.0,30.0,0.0,340004,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
5,cylinder,0.0,1.0,30.0,0.0,350005,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
6,cylinder,0.0,1.0,30.0,0.0,360006,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
7,cylinder,0.0,1.0,30.0,0.0,370007,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
8,cylinder,0.0,1.0,30.0,0.0,380008,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
9,cylinder,0.0,1.0,30.0,0.0,390009,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
10,cylinder,0.0,1.0,30.0,0.0,400010,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
11,cylinder,0.0,1.0,30.0,0.0,410011,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
12,cylinder,0.0,1.0,30.0,0.0,420012,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
13,cylinder,0.0,1.0,30.0,0.0,430013,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
14,cylinder,0.0,1.0,30.0,0.0,440014,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
15,cylinder,0.0,1.0,30.0,0.0,450015,0,0.01517,,0.15304,0.01879,2,10,0,1,0,1,,1,0.00406,0.1499,0.6049,success,
16,cylinder,0.0,1.0,30.0,0.0,460016,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
17,cylinder,0.0,1.0,30.0,0.0,470017,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
18,cylinder,0.0,1.0,30.0,0.0,480018,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
19,cylinder,0.0,1.0,30.0,0.0,490019,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
20,cylinder,0.0,1.0,30.0,0.0,500020,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
21,cylinder,0.0,1.0,30.0,0.0,510021,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
22,cylinder,0.0,1.0,30.0,0.0,520022,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
23,cylinder,0.0,1.0,30.0,0.0,530023,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
24,cylinder,0.0,1.0,30.0,0.0,540024,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
25,cylinder,0.0,1.0,30.0,0.0,550025,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
26,cylinder,0.0,1.0,30.0,0.0,560026,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
27,cylinder,0.0,1.0,30.0,0.0,570027,0,0.01517,,0.15494,0.02095,2,10,0,1,0,1,,1,0.00395,0.15002,0.605,success,
28,cylinder,0.0,1.0,30.0,0.0,580028,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
29,cylinder,0.0,1.0,30.0,0.0,590029,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
30,cylinder,0.0,1.0,30.0,0.0,600030,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
31,cylinder,0.0,1.0,30.0,0.0,610031,0,0.01517,,0.15915,0.01471,5,10,0,1,0,1,,1,0.00321,0.14999,0.605,success,
32,cylinder,0.0,1.0,30.0,0.0,620032,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
33,cylinder,0.0,1.0,30.0,0.0,630033,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
34,cylinder,0.0,1.0,30.0,0.0,640034,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
35,cylinder,0.0,1.0,30.0,0.0,650035,0,0.01517,,,,0,10,,,,,,0,,,,no_grasps,no_grasps
