trial_id,object,sigma_d,rho,phi,theta,seed,seg_empty,C_pc,cube_size,q_grasp,e_pose,n_grasps,top_k,selected_rank,n_candidates_tried,n_rejected_collision,collision_free,contacted_bodies,success,final_xy_offset,final_lift,obj_z_final,failure_mode,error
0,cylinder,0.0,1.0,55.0,45.0,300000,0,0.01344,,0.15439,0.0095,11,20,6,7,6,1,,1,0.00253,0.15004,0.605,success,
1,cylinder,0.0,1.0,55.0,45.0,310001,0,0.01344,,0.16065,0.01183,23,20,3,4,3,1,,1,0.00287,0.15,0.605,success,
2,cylinder,0.0,1.0,55.0,45.0,320002,0,0.01344,,0.1718,0.01368,48,20,0,1,0,1,,1,0.00308,0.14993,0.6049,success,
3,cylinder,0.0,1.0,55.0,45.0,330003,0,0.01344,,0.16805,0.02707,36,20,4,5,4,1,,1,0.00455,0.14974,0.6047,success,
4,cylinder,0.0,1.0,55.0,45.0,340004,0,0.01344,,0.15303,0.01602,8,20,4,5,4,1,,1,0.00358,0.14994,0.6049,success,
5,cylinder,0.0,1.0,55.0,45.0,350005,0,0.01344,,0.17905,0.03163,19,20,0,1,0,1,,1,0.00581,0.14982,0.6048,success,
6,cylinder,0.0,1.0,55.0,45.0,360006,0,0.01344,,0.18442,0.02865,47,20,1,2,1,1,,1,0.00537,0.14987,0.6049,success,
7,cylinder,0.0,1.0,55.0,45.0,370007,0,0.01344,,0.1606,0.0243,14,20,1,2,1,1,,1,0.00472,0.15024,0.6052,success,
8,cylinder,0.0,1.0,55.0,45.0,380008,0,0.01344,,0.16492,0.03206,19,20,6,7,6,1,,1,0.00549,0.14983,0.605,success,
9,cylinder,0.0,1.0,55.0,45.0,390009,0,0.01344,,0.17625,0.01166,42,20,7,8,7,1,,1,0.00293,0.15019,0.6052,success,
10,cylinder,0.0,1.0,55.0,45.0,400010,0,0.01344,,0.16218,0.03716,6,20,,6,6,0,target_object,0,,,,pregrasp_collision,
11,cylinder,0.0,1.0,55.0,45.0,410011,0,0.01344,,0.15312,0.02737,4,20,3,4,3,1,,1,0.00224,0.14972,0.6048,success,
12,cylinder,0.0,1.0,55.0,45.0,420012,0,0.01344,,0.17413,0.03041,34,20,2,3,2,1,,1,0.00503,0.14965,0.6048,success,
13,cylinder,0.0,1.0,55.0,45.0,430013,0,0.01344,,0.16905,0.0115,24,20,2,3,2,1,,1,0.00303,0.14995,0.6049,success,
14,cylinder,0.0,1.0,55.0,45.0,440014,0,0.01344,,0.1602,0.03351,3,20,,3,3,0,target_object,0,,,,pregrasp_collision,
15,cylinder,0.0,1.0,55.0,45.0,450015,0,0.01344,,0.15594,0.03367,3,20,,3,3,0,target_object,0,,,,pregrasp_collision,
16,cylinder,0.0,1.0,55.0,45.0,460016,0,0.01344,,0.1683,0.03245,32,20,3,4,3,1,,1,0.00518,0.14968,0.605,success,
17,cylinder,0.0,1.0,55.0,45.0,470017,0,0.01344,,0.15294,0.03203,1,20,,1,1,0,target_object,0,,,,pregrasp_collision,
18,cylinder,0.0,1.0,55.0,45.0,480018,0,0.01344,,0.16105,0.02786,31,20,11,12,11,1,,1,0.00509,0.14981,0.6048,success,
19,cylinder,0.0,1.0,55.0,45.0,490019,0,0.01344,,0.16844,0.00713,38,20,6,7,6,1,,1,0.00194,0.14987,0.6049,success,
20,cylinder,0.0,1.0,55.0,45.0,500020,0,0.01344,,0.17221,0.01106,39,20,0,1,0,1,,1,0.0029,0.15007,0.6051,success,
21,cylinder,0.0,1.0,55.0,45.0,510021,0,0.01344,,0.16811,0.03123,36,20,5,6,5,1,,1,0.00505,0.14964,0.6047,success,
22,cylinder,0.0,1.0,55.0,45.0,520022,0,0.01344,,0.15555,0.03007,10,20,3,4,3,1,,1,0.00477,0.14971,0.605,success,
23,cylinder,0.0,1.0,55.0,45.0,530023,0,0.01344,,0.17174,0.00485,35,20,5,6,5,1,,1,0.00083,0.14996,0.605,success,
24,cylinder,0.0,1.0,55.0,45.0,540024,0,0.01344,,0.19219,0.02015,63,20,0,1,0,1,,1,0.00373,0.14985,0.6048,success,
