object,sigma_d,n,p_collision,p_execution,B,se
box,0.0,360,0.9388888888888889,0.05555555555555555,-0.8833333333333333,0.024390723798350215
box,0.0025,360,0.9027777777777778,0.08888888888888889,-0.8138888888888889,0.030242149725630205
box,0.005,360,0.9166666666666666,0.075,-0.8416666666666667,0.028050742161348757
box,0.01,360,0.8694444444444445,0.1111111111111111,-0.7583333333333333,0.03356114283873503
box,0.015,360,0.7916666666666666,0.18055555555555555,-0.611111111111111,0.04078280656582452
box,0.02,360,0.5583333333333333,0.4361111111111111,-0.12222222222222223,0.05216177221020907
box,0.04,360,0.12222222222222222,0.6861111111111111,0.5638888888888889,0.03690688938700965
cylinder,0.0,360,0.7083333333333334,0.030555555555555555,-0.6777777777777778,0.02786406351674671
cylinder,0.0025,360,0.7444444444444445,0.008333333333333333,-0.7361111111111112,0.02420503906883298
cylinder,0.005,360,0.7277777777777777,0.011111111111111112,-0.7166666666666667,0.025015427338709834
cylinder,0.01,360,0.725,0.08611111111111111,-0.6388888888888888,0.03345528104655494
cylinder,0.015,360,0.7555555555555555,0.2111111111111111,-0.5444444444444444,0.04314854553941943
cylinder,0.02,360,0.3888888888888889,0.5527777777777778,0.16388888888888892,0.050409630328975615
cylinder,0.04,360,0.008333333333333333,0.5666666666666667,0.5583333333333333,0.027042347905588994
mustard,0.0,360,0.9527777777777777,0.0,-0.9527777777777777,0.011179381312465047
mustard,0.0025,360,0.9527777777777777,0.0,-0.9527777777777777,0.011179381312465047
mustard,0.005,360,0.9194444444444444,0.005555555555555556,-0.9138888888888889,0.01579443456529266
mustard,0.01,360,0.9416666666666667,0.005555555555555556,-0.9361111111111111,0.014035491706201183
mustard,0.015,360,0.9555555555555556,0.013888888888888888,-0.9416666666666668,0.015157353673064764
mustard,0.02,360,0.9611111111111111,0.019444444444444445,-0.9416666666666667,0.016143406328939222
mustard,0.04,360,0.4388888888888889,0.37777777777777777,-0.061111111111111116,0.04751994022295132
