variable,level,n,has_grasps_pct,n_has_grasps,gate_pass_pct,n_gate_pass,post_gate_pct,post_gate_lo,post_gate_hi,marginal_pct,marginal_lo,marginal_hi
object,box,2520,96.54761904761905,2433,24.537607891491984,597,1.5075376884422111,0.7951006150077277,2.8400671230450296,0.35714285714285715,0.18800740698699556,0.677403480922927
object,cylinder,2520,90.39682539682539,2278,35.8647936786655,817,35.37331701346389,32.1701325276,38.71340943713473,11.468253968253968,10.282372304256434,12.771435826967013
object,mustard,2520,96.74603174603175,2438,9.598031173092698,234,35.042735042735046,29.21598984720352,41.35265752146537,3.2539682539682544,2.629247674087636,4.020995352257599
sigma_d,0.0,1080,95.0,1026,8.771929824561404,90,65.55555555555556,55.283279348344,74.55423407853704,5.462962962962963,4.258673011530549,6.98296967869282
sigma_d,0.0025,1080,99.81481481481481,1078,13.172541743970315,142,75.35211267605634,67.65806854113949,81.71056153422997,9.907407407407408,8.2651655652935,11.833859974969949
sigma_d,0.005,1080,99.53703703703704,1075,14.13953488372093,152,78.28947368421052,71.0817283532132,84.10251000162917,11.018518518518519,9.28740634837353,13.02596490439994
sigma_d,0.01,1080,99.07407407407408,1070,14.672897196261681,157,53.503184713375795,45.71076474232955,61.12826197712611,7.777777777777778,6.325945113056622,9.528917811562621
sigma_d,0.015,1080,97.68518518518519,1055,14.597156398104266,154,5.194805194805195,2.6554613997815326,9.915115685093431,0.7407407407407408,0.37580982289625436,1.4548635891595292
sigma_d,0.02,1080,97.4074074074074,1052,34.6958174904943,365,0.547945205479452,0.15039202796377477,1.9756154505852823,0.1851851851851852,0.05079809214710847,0.6727024636536655
sigma_d,0.04,1080,73.42592592592592,793,74.14880201765448,588,0.17006802721088435,0.030026721219230876,0.956994130305907,0.0925925925925926,0.01634631599744087,0.5226254304274979
rho,0.25,1890,89.8941798941799,1699,24.661565626839316,419,23.627684964200476,19.81121841470725,27.92334696391207,5.238095238095238,4.321361984838842,6.336424812113975
rho,0.5,1890,95.66137566137566,1808,24.115044247787612,436,24.541284403669724,20.73578507747765,28.79149929034932,5.661375661375661,4.706582182163326,6.796048238458968
rho,0.75,1890,96.66666666666667,1827,20.689655172413794,378,21.164021164021165,17.34678083307574,25.56148269818958,4.232804232804233,3.414111628798136,5.237171561939673
rho,1.0,1890,96.03174603174604,1815,22.865013774104682,415,22.650602409638555,18.884946512303056,26.917953677171923,4.973544973544974,4.081500913862482,6.048258618296913
phi,30.0,1260,96.03174603174604,1210,20.74380165289256,251,22.310756972111555,17.599524480397804,27.856790344183423,4.444444444444445,3.438330858624483,5.727501315280856
phi,45.0,1260,97.53968253968254,1229,24.735557363710335,304,22.69736842105263,18.346432609347172,27.729731235955096,5.476190476190476,4.349893680825757,6.8731583218935715
phi,50.0,1260,96.74603174603175,1219,24.774405250205085,302,27.1523178807947,22.44657561440667,32.43202821188773,6.507936507936509,5.27378852335538,8.00648330817794
phi,55.0,1260,94.12698412698413,1186,24.114671163575043,286,22.727272727272727,18.250613466017217,27.926884864105165,5.158730158730158,4.067942799419279,6.522118486741898
phi,60.0,1260,92.61904761904762,1167,23.050556983718938,269,20.44609665427509,16.058553807777745,25.665875311535437,4.365079365079365,3.368828177011217,5.6387563177545825
phi,65.0,1260,90.31746031746032,1138,20.738137082601053,236,22.45762711864407,17.59903293214119,28.198526790609158,4.2063492063492065,3.2301230755435713,5.460966060943154
theta,0.0,2520,94.52380952380952,2382,23.845507976490346,568,28.345070422535212,24.793827084792213,32.18726698041745,6.388888888888888,5.498847521943172,7.411693298051235
theta,45.0,2520,94.72222222222223,2387,22.873900293255133,546,23.076923076923077,19.738289818604095,26.79176538274844,5.0,4.215441909320681,5.921549255259538
theta,90.0,2520,94.44444444444444,2380,22.436974789915965,534,17.415730337078653,14.434878469133821,20.862056539240392,3.6904761904761907,3.022064366881855,4.499865694022126
