trial_id,sigma_d,rho,phi,theta,seed,C_pc,q_grasp,e_pose,n_grasps,success,obj_z_final,error
0,0.0,1.0,30.0,0.0,0,0.00999,0.24269,0.04569,72,1,0.675,
1,0.0,1.0,30.0,0.0,10001,0.00999,0.24112,0.04631,66,1,0.675,
2,0.0,1.0,30.0,0.0,20002,0.00999,0.24799,0.04636,73,1,0.675,
3,0.0,1.0,30.0,45.0,3,0.01426,0.20543,0.06413,23,0,0.458,
4,0.0,1.0,30.0,45.0,10004,0.01426,0.15369,0.06,1,1,0.675,
5,0.0,1.0,30.0,45.0,20005,0.01426,0.18522,0.03356,12,1,0.675,
6,0.0,1.0,30.0,90.0,6,0.01465,0.16581,0.09393,5,0,0.455,
7,0.0,1.0,30.0,90.0,10007,0.014651692708333334,,,0,0,,no_grasps
8,0.0,1.0,30.0,90.0,20008,0.01465,0.18998,0.09614,15,0,0.455,
9,0.0,1.0,45.0,0.0,9,0.00317,0.29385,0.06236,67,1,0.675,
10,0.0,1.0,45.0,0.0,10010,0.00317,0.2938,0.06535,70,0,0.455,
11,0.0,1.0,45.0,0.0,20011,0.00317,0.2938,0.06433,71,1,0.675,
12,0.0,1.0,45.0,45.0,12,0.01258,0.19431,0.06611,18,0,0.436,
13,0.0,1.0,45.0,45.0,10013,0.01258,0.22614,0.10141,27,0,0.4572,
14,0.0,1.0,45.0,45.0,20014,0.01258,0.21158,0.10033,30,0,0.455,
15,0.0,1.0,45.0,90.0,15,0.01355,0.21481,0.09828,17,0,0.455,
16,0.0,1.0,45.0,90.0,10016,0.01355,0.22563,0.04857,22,0,0.436,
17,0.0,1.0,45.0,90.0,20017,0.01355,0.19994,0.09341,16,0,0.4549,
18,0.0,1.0,50.0,0.0,18,0.00063,0.29293,0.07061,53,0,0.455,
19,0.0,1.0,50.0,0.0,10019,0.00063,0.29214,0.07069,51,0,0.455,
20,0.0,1.0,50.0,0.0,20020,0.00063,0.29189,0.06869,51,0,0.455,
21,0.0,1.0,50.0,45.0,21,0.01167,0.24111,0.10873,46,0,0.455,
22,0.0,1.0,50.0,45.0,10022,0.01167,0.2309,0.09088,37,0,0.4566,
23,0.0,1.0,50.0,45.0,20023,0.01167,0.21585,0.04916,23,0,0.436,
24,0.0,1.0,50.0,90.0,24,0.01286,0.20597,0.0973,18,0,0.455,
25,0.0,1.0,50.0,90.0,10025,0.01286,0.22074,0.08089,27,0,0.4548,
26,0.0,1.0,50.0,90.0,20026,0.01286,0.23237,0.02629,19,1,0.675,
27,0.0,1.0,55.0,0.0,27,9.765625e-06,,,0,0,,no_grasps
28,0.0,1.0,55.0,0.0,10028,9.765625e-06,,,0,0,,no_grasps
29,0.0,1.0,55.0,0.0,20029,9.765625e-06,,,0,0,,no_grasps
30,0.0,1.0,55.0,45.0,30,0.010638020833333333,,,0,0,,no_grasps
31,0.0,1.0,55.0,45.0,10031,0.010638020833333333,,,0,0,,no_grasps
32,0.0,1.0,55.0,45.0,20032,0.010638020833333333,,,0,0,,no_grasps
33,0.0,1.0,55.0,90.0,33,0.011809895833333334,,,0,0,,no_grasps
34,0.0,1.0,55.0,90.0,10034,0.011809895833333334,,,0,0,,no_grasps
35,0.0,1.0,55.0,90.0,20035,0.011809895833333334,,,0,0,,no_grasps
36,0.0,1.0,60.0,0.0,36,0.82954,0.16172,0.38325,7,0,0.455,
37,0.0,1.0,60.0,0.0,10037,0.82954,0.17885,0.38366,12,0,0.455,
38,0.0,1.0,60.0,0.0,20038,0.82954,0.18292,0.39104,16,0,0.455,
39,0.0,1.0,60.0,45.0,39,0.009482421875,,,0,0,,no_grasps
40,0.0,1.0,60.0,45.0,10040,0.009482421875,,,0,0,,no_grasps
41,0.0,1.0,60.0,45.0,20041,0.009482421875,,,0,0,,no_grasps
42,0.0,1.0,60.0,90.0,42,0.00971,0.16133,0.07183,3,0,0.455,
43,0.0,1.0,60.0,90.0,10043,0.00971,0.16737,0.07122,2,0,0.455,
44,0.0,1.0,60.0,90.0,20044,0.009713541666666667,,,0,0,,no_grasps
45,0.0,1.0,65.0,0.0,45,0.88555,0.19454,0.31111,37,0,0.455,
46,0.0,1.0,65.0,0.0,10046,0.88555,0.18361,0.18872,20,0,0.455,
47,0.0,1.0,65.0,0.0,20047,0.88555,0.18742,0.30008,32,0,0.455,
48,0.0,1.0,65.0,45.0,48,0.00818,0.15377,0.11767,2,0,0.455,
49,0.0,1.0,65.0,45.0,10049,0.00818,0.15089,0.11809,1,0,0.455,
50,0.0,1.0,65.0,45.0,20050,0.00818,0.15417,0.11825,2,0,0.455,
51,0.0,1.0,65.0,90.0,51,0.00615,0.1933,0.09819,13,0,0.455,
52,0.0,1.0,65.0,90.0,10052,0.00615,0.19626,0.1011,10,0,0.455,
53,0.0,1.0,65.0,90.0,20053,0.00615,0.19007,0.10096,7,0,0.455,
54,0.0,0.75,30.0,0.0,54,0.00999,0.29385,0.03986,135,1,0.675,
55,0.0,0.75,30.0,0.0,10055,0.00999,0.29385,0.04122,118,1,0.675,
56,0.0,0.75,30.0,0.0,20056,0.00999,0.29385,0.03533,97,1,0.675,
57,0.0,0.75,30.0,45.0,57,0.014264322916666667,,,0,0,,no_grasps
58,0.0,0.75,30.0,45.0,10058,0.01426,0.15246,0.06467,1,0,0.4587,
59,0.0,0.75,30.0,45.0,20059,0.01426,0.17848,0.09521,5,0,0.4548,
60,0.0,0.75,30.0,90.0,60,0.014651692708333334,,,0,0,,no_grasps
61,0.0,0.75,30.0,90.0,10061,0.01465,0.17208,0.09809,5,0,0.4549,
62,0.0,0.75,30.0,90.0,20062,0.01465,0.19152,0.10376,8,0,0.455,
63,0.0,0.75,45.0,0.0,63,0.00317,0.29385,0.0688,84,0,0.455,
64,0.0,0.75,45.0,0.0,10064,0.00317,0.29385,0.0716,89,0,0.455,
65,0.0,0.75,45.0,0.0,20065,0.00317,0.29382,0.07041,87,0,0.4551,
66,0.0,0.75,45.0,45.0,66,0.01258,0.20819,0.07228,26,0,0.4617,
67,0.0,0.75,45.0,45.0,10067,0.01258,0.19625,0.10922,14,0,0.4594,
68,0.0,0.75,45.0,45.0,20068,0.01258,0.21119,0.04176,30,1,0.675,
69,0.0,0.75,45.0,90.0,69,0.01355,0.20333,0.09583,15,0,0.4549,
70,0.0,0.75,45.0,90.0,10070,0.01355,0.20002,0.10345,14,0,0.455,
71,0.0,0.75,45.0,90.0,20071,0.01355,0.17788,0.09483,10,0,0.455,
72,0.0,0.75,50.0,0.0,72,0.00063,0.28255,0.09323,29,0,0.455,
73,0.0,0.75,50.0,0.0,10073,0.00063,0.29326,0.07776,48,0,0.455,
74,0.0,0.75,50.0,0.0,20074,0.00063,0.28774,0.08807,32,0,0.455,
75,0.0,0.75,50.0,45.0,75,0.01167,0.22453,0.07227,31,0,0.459,
76,0.0,0.75,50.0,45.0,10076,0.01167,0.21008,0.11104,20,0,0.4552,
77,0.0,0.75,50.0,45.0,20077,0.01167,0.21546,0.05606,29,0,0.436,
78,0.0,0.75,50.0,90.0,78,0.01286,0.22029,0.04879,27,0,0.4546,
79,0.0,0.75,50.0,90.0,10079,0.01286,0.21103,0.01567,17,1,0.675,
80,0.0,0.75,50.0,90.0,20080,0.01286,0.22757,0.07679,28,0,0.0416,
81,0.0,0.75,55.0,0.0,81,1e-05,0.23003,0.07415,1,0,0.436,
