equation,outcome,predictor,model_type,coef,ci_lo,ci_hi,se,p_value,n_obs,r2_or_pseudo
Eq1,C_pc,const,OLS,0.017644,0.017145,0.018142,0.000254,0.0,426,0.893
Eq1,C_pc,phi,OLS,-0.000259,-0.000271,-0.000247,6e-06,0.0,426,0.893
Eq1,C_pc,theta,OLS,8.6e-05,8.2e-05,9e-05,2e-06,0.0,426,0.893
Eq2A,has_grasps,const,Logit,8.681008,6.461658,10.900359,1.132343,0.0,426,0.5539
Eq2A,has_grasps,sigma_d,Logit,-169.271435,-201.301433,-137.241436,16.342136,0.0,426,0.5539
Eq2A,has_grasps,rho,Logit,0.862529,-0.293827,2.018884,0.589988,0.143757,426,0.5539
Eq2A,has_grasps,phi,Logit,-0.121008,-0.156359,-0.085656,0.018037,0.0,426,0.5539
Eq2A,has_grasps,theta,Logit,0.010211,0.001271,0.019152,0.004561,0.025182,426,0.5539
Eq2B,n_grasps,const,NegBin,3.384489,2.81342,3.955557,0.291367,0.0,285,
Eq2B,n_grasps,sigma_d,NegBin,-100.634039,-114.741344,-86.526733,7.197737,0.0,285,
Eq2B,n_grasps,rho,NegBin,1.270549,0.824436,1.716663,0.227613,0.0,285,
Eq2B,n_grasps,phi,NegBin,-0.001819,-0.012286,0.008648,0.00534,0.733353,285,
Eq2B,n_grasps,theta,NegBin,-0.013111,-0.016608,-0.009613,0.001784,0.0,285,
Eq3,q_grasp,const,OLS,0.178057,0.159997,0.196117,0.009214,0.0,285,0.6991
Eq3,q_grasp,sigma_d,OLS,0.299872,-0.216112,0.815855,0.263262,0.254677,285,0.6991
Eq3,q_grasp,rho,OLS,-0.040994,-0.052871,-0.029117,0.00606,0.0,285,0.6991
Eq3,q_grasp,phi,OLS,0.000678,0.000415,0.000941,0.000134,0.0,285,0.6991
Eq3,q_grasp,theta,OLS,-0.000333,-0.000436,-0.000231,5.2e-05,0.0,285,0.6991
Eq3,q_grasp,log_n_grasps,OLS,0.025258,0.02109,0.029427,0.002127,0.0,285,0.6991
Eq4,e_pose,const,OLS,0.056965,0.026406,0.087523,0.015591,0.000259,285,0.6245
Eq4,e_pose,sigma_d,OLS,2.791809,2.409503,3.174115,0.195058,0.0,285,0.6245
Eq4,e_pose,rho,OLS,0.000196,-0.012148,0.01254,0.006298,0.975179,285,0.6245
Eq4,e_pose,phi,OLS,0.000343,4.3e-05,0.000642,0.000153,0.024813,285,0.6245
Eq4,e_pose,theta,OLS,0.000452,0.000323,0.000581,6.6e-05,0.0,285,0.6245
Eq4,e_pose,q_grasp,OLS,-0.160705,-0.262536,-0.058874,0.051956,0.001981,285,0.6245
