moderator,moderator_level,variable,level,outcome,estimate,ci_lo,ci_hi,n
phi,30.0,sigma_d,0.0,success,0.8888888888888888,0.7468487098496367,0.9559343109125816,36
phi,30.0,sigma_d,0.005,success,0.6,0.43572419581519467,0.7444949506669274,35
phi,30.0,sigma_d,0.02,success,0.027777777777777776,0.004920280295569679,0.141700337350308,36
phi,30.0,sigma_d,0.04,success,0.0,0.0,0.10427343003561192,33
phi,45.0,sigma_d,0.0,success,0.8571428571428571,0.7062411969132573,0.9373986119514649,35
phi,45.0,sigma_d,0.005,success,0.5277777777777778,0.3700567162693947,0.6801420709279067,36
phi,45.0,sigma_d,0.02,success,0.25,0.13750323839225387,0.41070767683203424,36
phi,45.0,sigma_d,0.04,success,0.0,0.0,0.09642183044857634,36
phi,60.0,sigma_d,0.0,success,0.3888888888888889,0.24784655417822943,0.5513582970325652,36
phi,60.0,sigma_d,0.005,success,0.16666666666666666,0.07870340628564097,0.3189111473467432,36
phi,60.0,sigma_d,0.02,success,0.05555555555555555,0.015369663767066846,0.18144974107611211,36
phi,60.0,sigma_d,0.04,success,0.0,0.0,0.09890426758938868,35
