node,parents,phi,theta,stat,value,ci_lo,ci_hi,n,sigma_d,rho
C_pc,"phi,theta",30.0,0.0,mean,0.010799484592013875,0.010799197348596959,0.010799771835430792,48,,
C_pc,"phi,theta",30.0,45.0,mean,0.014790253623188402,0.01479007871020157,0.014790428536175234,46,,
C_pc,"phi,theta",30.0,90.0,mean,0.014879276494565219,0.014878847875761774,0.014879705113368663,46,,
C_pc,"phi,theta",45.0,0.0,mean,0.004860837765957446,0.004860424296662484,0.004861251235252407,47,,
C_pc,"phi,theta",45.0,45.0,mean,0.012160425347222212,0.01216023583981751,0.012160614854626913,48,,
C_pc,"phi,theta",45.0,90.0,mean,0.013821826171874977,0.01382115215127953,0.013822500192470423,48,,
C_pc,"phi,theta",60.0,0.0,mean,4.9072265624999996e-05,4.8936202953832756e-05,4.9208328296167236e-05,48,,
C_pc,"phi,theta",60.0,45.0,mean,0.007089957682291666,0.007089937830869314,0.007089977533714018,48,,
C_pc,"phi,theta",60.0,90.0,mean,0.01009048758865247,0.010090323870200481,0.010090651307104457,47,,
has_grasps,"sigma_d,rho,phi,theta",30.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,0.25
has_grasps,"sigma_d,rho,phi,theta",30.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,0.25
has_grasps,"sigma_d,rho,phi,theta",30.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,0.25
has_grasps,"sigma_d,rho,phi,theta",45.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,0.25
has_grasps,"sigma_d,rho,phi,theta",45.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,0.25
has_grasps,"sigma_d,rho,phi,theta",45.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,0.25
has_grasps,"sigma_d,rho,phi,theta",60.0,0.0,proportion,0.0,0.0,0.5615060804490177,3,0.0,0.25
has_grasps,"sigma_d,rho,phi,theta",60.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,0.25
has_grasps,"sigma_d,rho,phi,theta",60.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,0.25
has_grasps,"sigma_d,rho,phi,theta",30.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,0.5
has_grasps,"sigma_d,rho,phi,theta",30.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,0.5
has_grasps,"sigma_d,rho,phi,theta",30.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,0.5
has_grasps,"sigma_d,rho,phi,theta",45.0,0.0,proportion,1.0,0.34237195288961925,1.0,2,0.0,0.5
has_grasps,"sigma_d,rho,phi,theta",45.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,0.5
has_grasps,"sigma_d,rho,phi,theta",45.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,0.5
has_grasps,"sigma_d,rho,phi,theta",60.0,0.0,proportion,0.3333333333333333,0.0614903152761605,0.7923450448735121,3,0.0,0.5
has_grasps,"sigma_d,rho,phi,theta",60.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,0.5
has_grasps,"sigma_d,rho,phi,theta",60.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,0.5
has_grasps,"sigma_d,rho,phi,theta",30.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,0.75
has_grasps,"sigma_d,rho,phi,theta",30.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,0.75
has_grasps,"sigma_d,rho,phi,theta",30.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,0.75
has_grasps,"sigma_d,rho,phi,theta",45.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,0.75
has_grasps,"sigma_d,rho,phi,theta",45.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,0.75
has_grasps,"sigma_d,rho,phi,theta",45.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,0.75
has_grasps,"sigma_d,rho,phi,theta",60.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,0.75
has_grasps,"sigma_d,rho,phi,theta",60.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,0.75
has_grasps,"sigma_d,rho,phi,theta",60.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,0.75
has_grasps,"sigma_d,rho,phi,theta",30.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,1.0
has_grasps,"sigma_d,rho,phi,theta",30.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,1.0
has_grasps,"sigma_d,rho,phi,theta",30.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,1.0
has_grasps,"sigma_d,rho,phi,theta",45.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,1.0
has_grasps,"sigma_d,rho,phi,theta",45.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,1.0
has_grasps,"sigma_d,rho,phi,theta",45.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,1.0
has_grasps,"sigma_d,rho,phi,theta",60.0,0.0,proportion,0.0,0.0,0.5615060804490177,3,0.0,1.0
has_grasps,"sigma_d,rho,phi,theta",60.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,1.0
has_grasps,"sigma_d,rho,phi,theta",60.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.0,1.0
has_grasps,"sigma_d,rho,phi,theta",30.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.25
has_grasps,"sigma_d,rho,phi,theta",30.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.25
has_grasps,"sigma_d,rho,phi,theta",30.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.25
has_grasps,"sigma_d,rho,phi,theta",45.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.25
has_grasps,"sigma_d,rho,phi,theta",45.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.25
has_grasps,"sigma_d,rho,phi,theta",45.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.25
has_grasps,"sigma_d,rho,phi,theta",60.0,0.0,proportion,0.3333333333333333,0.0614903152761605,0.7923450448735121,3,0.005,0.25
has_grasps,"sigma_d,rho,phi,theta",60.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.25
has_grasps,"sigma_d,rho,phi,theta",60.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.25
has_grasps,"sigma_d,rho,phi,theta",30.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.5
has_grasps,"sigma_d,rho,phi,theta",30.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.5
has_grasps,"sigma_d,rho,phi,theta",30.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.5
has_grasps,"sigma_d,rho,phi,theta",45.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.5
has_grasps,"sigma_d,rho,phi,theta",45.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.5
has_grasps,"sigma_d,rho,phi,theta",45.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.5
has_grasps,"sigma_d,rho,phi,theta",60.0,0.0,proportion,0.3333333333333333,0.0614903152761605,0.7923450448735121,3,0.005,0.5
has_grasps,"sigma_d,rho,phi,theta",60.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.5
has_grasps,"sigma_d,rho,phi,theta",60.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.5
has_grasps,"sigma_d,rho,phi,theta",30.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.75
has_grasps,"sigma_d,rho,phi,theta",30.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.75
has_grasps,"sigma_d,rho,phi,theta",30.0,90.0,proportion,1.0,0.34237195288961925,1.0,2,0.005,0.75
has_grasps,"sigma_d,rho,phi,theta",45.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.75
has_grasps,"sigma_d,rho,phi,theta",45.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.75
has_grasps,"sigma_d,rho,phi,theta",45.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.75
has_grasps,"sigma_d,rho,phi,theta",60.0,0.0,proportion,0.6666666666666666,0.2076549551264879,0.9385096847238394,3,0.005,0.75
has_grasps,"sigma_d,rho,phi,theta",60.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.75
has_grasps,"sigma_d,rho,phi,theta",60.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.75
has_grasps,"sigma_d,rho,phi,theta",30.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,1.0
has_grasps,"sigma_d,rho,phi,theta",30.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,1.0
has_grasps,"sigma_d,rho,phi,theta",30.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,1.0
has_grasps,"sigma_d,rho,phi,theta",45.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,1.0
has_grasps,"sigma_d,rho,phi,theta",45.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,1.0
has_grasps,"sigma_d,rho,phi,theta",45.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,1.0
has_grasps,"sigma_d,rho,phi,theta",60.0,0.0,proportion,0.0,0.0,0.5615060804490177,3,0.005,1.0
has_grasps,"sigma_d,rho,phi,theta",60.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,1.0
