variable,level,outcome,estimate,ci_lo,ci_hi,n
sigma_d,0.0,has_grasps,0.9252336448598131,0.8593610402927464,0.9616303564391665,107
sigma_d,0.005,has_grasps,0.9252336448598131,0.8593610402927464,0.9616303564391665,107
sigma_d,0.02,has_grasps,0.7129629629629629,0.6214884086956034,0.7898075670415103,108
sigma_d,0.04,has_grasps,0.09615384615384616,0.05306939630901405,0.1680104096285833,104
sigma_d,0.0,success,0.7102803738317757,0.6182267641098054,0.7877579925158658,107
sigma_d,0.005,success,0.42990654205607476,0.34013913708365806,0.5245326107077849,107
sigma_d,0.02,success,0.1111111111111111,0.0647120300165129,0.18422575342006164,108
sigma_d,0.04,success,0.0,0.0,0.03562261687512055,104
rho,0.25,has_grasps,0.6111111111111112,0.516864220923738,0.6977249838086694,108
rho,0.5,has_grasps,0.6822429906542056,0.5890163288906902,0.7628371268515581,107
rho,0.75,has_grasps,0.7115384615384616,0.6181636431920521,0.789842172745397,104
rho,1.0,has_grasps,0.6728971962616822,0.5793579178987817,0.7544517708823256,107
rho,0.25,success,0.28703703703703703,0.21019243295848952,0.3785115913043965,108
rho,0.5,success,0.32710280373831774,0.24554822911767424,0.42064208210121823,107
rho,0.75,success,0.38461538461538464,0.2968111436892963,0.4806402294357316,104
rho,1.0,success,0.2616822429906542,0.1876959981258367,0.35218794436506917,107
phi,30.0,has_grasps,0.8142857142857143,0.741788762240672,0.8699953113513903,140
phi,45.0,has_grasps,0.6923076923076923,0.612455640064088,0.7620976200474879,143
phi,60.0,has_grasps,0.5034965034965035,0.4225343337316655,0.5842757255430905,143
phi,30.0,success,0.38571428571428573,0.3091595162735896,0.4683735478747515,140
phi,45.0,success,0.40559440559440557,0.32860780658245403,0.48752059299913586,143
phi,60.0,success,0.15384615384615385,0.103845722608873,0.2219584091902902,143
theta,0.0,has_grasps,0.5804195804195804,0.4984682480005452,0.6581631153188412,143
theta,45.0,has_grasps,0.7605633802816901,0.6841013156696377,0.823298493438326,142
theta,90.0,has_grasps,0.6666666666666666,0.585346994293644,0.7391454167263944,141
theta,0.0,success,0.42657342657342656,0.3484754915463827,0.5085132636837428,143
theta,45.0,success,0.34507042253521125,0.2718881193737735,0.426414696832302,142
theta,90.0,success,0.1702127659574468,0.1171325106118973,0.24078676119951595,141
