D_tau,overall,clean,max_degradation,sigma_d=0.0,sigma_d=0.005,sigma_d=0.02,sigma_d=0.04,rho=0.25,rho=0.5,rho=0.75,rho=1.0,phi=30.0,phi=45.0,phi=60.0,theta=0.0,theta=45.0,theta=90.0
0.03,0.09259259259259259,0.25925925925925924,0.0,0.25925925925925924,0.09259259259259259,0.018518518518518517,0.0,0.08333333333333333,0.08333333333333333,0.12037037037037036,0.08333333333333333,0.08333333333333333,0.14583333333333334,0.04861111111111111,0.1111111111111111,0.1388888888888889,0.027777777777777776
0.034999999999999996,0.1388888888888889,0.37037037037037035,0.0,0.42592592592592593,0.1111111111111111,0.018518518518518517,0.0,0.1388888888888889,0.1388888888888889,0.16666666666666666,0.1111111111111111,0.1875,0.1736111111111111,0.05555555555555555,0.1527777777777778,0.19444444444444445,0.06944444444444445
0.039999999999999994,0.17824074074074073,0.37037037037037035,0.0,0.5370370370370371,0.1388888888888889,0.037037037037037035,0.0,0.19444444444444445,0.18518518518518517,0.21296296296296297,0.12037037037037036,0.22916666666666666,0.22916666666666666,0.0763888888888889,0.20833333333333334,0.25,0.0763888888888889
0.04499999999999999,0.20833333333333334,0.4074074074074074,0.0,0.5648148148148148,0.21296296296296297,0.05555555555555555,0.0,0.2222222222222222,0.2222222222222222,0.24074074074074073,0.14814814814814814,0.2708333333333333,0.2638888888888889,0.09027777777777778,0.2569444444444444,0.2638888888888889,0.10416666666666667
0.04999999999999999,0.23842592592592593,0.4074074074074074,0.0,0.6111111111111112,0.2777777777777778,0.06481481481481481,0.0,0.25,0.25,0.2777777777777778,0.17592592592592593,0.3055555555555556,0.3125,0.09722222222222222,0.3055555555555556,0.2847222222222222,0.125
0.054999999999999986,0.25925925925925924,0.4074074074074074,0.0,0.6296296296296297,0.32407407407407407,0.08333333333333333,0.0,0.25925925925925924,0.28703703703703703,0.28703703703703703,0.2037037037037037,0.3333333333333333,0.3472222222222222,0.09722222222222222,0.3333333333333333,0.3055555555555556,0.1388888888888889
0.059999999999999984,0.2777777777777778,0.48148148148148145,0.0,0.6481481481481481,0.3611111111111111,0.10185185185185185,0.0,0.2777777777777778,0.28703703703703703,0.2962962962962963,0.25,0.3680555555555556,0.3680555555555556,0.09722222222222222,0.3541666666666667,0.3194444444444444,0.1597222222222222
0.06499999999999997,0.2962962962962963,0.5185185185185185,0.0,0.6666666666666666,0.4074074074074074,0.1111111111111111,0.0,0.28703703703703703,0.3148148148148148,0.32407407407407407,0.25925925925925924,0.375,0.3958333333333333,0.11805555555555555,0.3888888888888889,0.3333333333333333,0.16666666666666666
0.06999999999999998,0.3263888888888889,0.5925925925925926,0.0,0.7222222222222222,0.46296296296296297,0.12037037037037036,0.0,0.3055555555555556,0.32407407407407407,0.3888888888888889,0.28703703703703703,0.3958333333333333,0.4166666666666667,0.16666666666666666,0.4652777777777778,0.3472222222222222,0.16666666666666666
0.07499999999999998,0.33101851851851855,0.5925925925925926,0.0,0.7222222222222222,0.48148148148148145,0.12037037037037036,0.0,0.3055555555555556,0.32407407407407407,0.3888888888888889,0.3055555555555556,0.3958333333333333,0.4236111111111111,0.1736111111111111,0.4722222222222222,0.3541666666666667,0.16666666666666666
0.07999999999999997,0.3402777777777778,0.5925925925925926,0.0,0.7314814814814815,0.49074074074074076,0.1388888888888889,0.0,0.3148148148148148,0.32407407407407407,0.4166666666666667,0.3055555555555556,0.4166666666666667,0.4305555555555556,0.1736111111111111,0.4861111111111111,0.3541666666666667,0.18055555555555555
0.08499999999999996,0.3541666666666667,0.5925925925925926,0.0,0.75,0.5,0.16666666666666666,0.0,0.3333333333333333,0.32407407407407407,0.4537037037037037,0.3055555555555556,0.4375,0.4375,0.1875,0.5,0.3611111111111111,0.2013888888888889
0.08999999999999997,0.36574074074074076,0.5925925925925926,0.0,0.75,0.5370370370370371,0.17592592592592593,0.0,0.3333333333333333,0.35185185185185186,0.46296296296296297,0.3148148148148148,0.4583333333333333,0.4444444444444444,0.19444444444444445,0.5069444444444444,0.3888888888888889,0.2013888888888889
0.09499999999999997,0.375,0.5925925925925926,0.0,0.7592592592592593,0.5462962962962963,0.19444444444444445,0.0,0.3333333333333333,0.37962962962962965,0.4722222222222222,0.3148148148148148,0.4722222222222222,0.4444444444444444,0.20833333333333334,0.5138888888888888,0.3958333333333333,0.2152777777777778
0.09999999999999996,0.3912037037037037,0.5925925925925926,0.0,0.7777777777777778,0.5648148148148148,0.2222222222222222,0.0,0.3333333333333333,0.3888888888888889,0.5,0.3425925925925926,0.4861111111111111,0.4583333333333333,0.22916666666666666,0.5208333333333334,0.4097222222222222,0.24305555555555555
0.10499999999999995,0.42824074074074076,0.7037037037037037,0.0,0.8055555555555556,0.6388888888888888,0.26851851851851855,0.0,0.35185185185185186,0.42592592592592593,0.5277777777777778,0.4074074074074074,0.4930555555555556,0.4861111111111111,0.3055555555555556,0.5277777777777778,0.4930555555555556,0.2638888888888889
0.10999999999999996,0.45601851851851855,0.7037037037037037,0.0,0.8240740740740741,0.6851851851851852,0.3148148148148148,0.0,0.39814814814814814,0.4537037037037037,0.5277777777777778,0.4444444444444444,0.5069444444444444,0.5,0.3611111111111111,0.5347222222222222,0.5347222222222222,0.2986111111111111
0.11499999999999996,0.5,0.7777777777777778,0.0,0.8796296296296297,0.7685185185185185,0.35185185185185186,0.0,0.4537037037037037,0.5185185185185185,0.5555555555555556,0.4722222222222222,0.5347222222222222,0.5625,0.4027777777777778,0.5347222222222222,0.5694444444444444,0.3958333333333333
